ItemID,Sentiment
1,0
2,0
3,1
4,0
5,0
6,1
7,1
8,0
9,0
10,1
11,1
12,1
13,0
14,0
15,1
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,1
40,0
41,0
42,0
43,0
44,1
45,1
46,1
47,0
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,1
56,0
57,0
58,1
59,1
60,0
61,0
62,0
63,1
64,0
65,1
66,0
67,0
68,0
69,0
70,1
71,0
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,1
87,0
88,0
89,0
90,1
91,1
92,0
93,1
94,1
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,1
104,1
105,0
106,0
107,0
108,1
109,0
110,0
111,0
112,0
113,1
114,1
115,1
116,0
117,1
118,1
119,0
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,1
129,0
130,0
131,1
132,0
133,0
134,1
135,0
136,0
137,1
138,1
139,1
140,1
141,0
142,0
143,0
144,1
145,0
146,1
147,1
148,0
149,0
150,0
151,0
152,1
153,0
154,0
155,1
156,1
157,0
158,1
159,1
160,0
161,0
162,0
163,0
164,0
165,0
166,1
167,1
168,0
169,0
170,1
171,0
172,1
173,0
174,1
175,1
176,1
177,1
178,0
179,1
180,1
181,1
182,1
183,1
184,0
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,0
196,1
197,1
198,0
199,0
200,0
201,1
202,0
203,0
204,1
205,1
206,0
207,1
208,1
209,1
210,1
211,1
212,1
213,0
214,0
215,1
216,1
217,0
218,1
219,1
220,0
221,0
222,1
223,0
224,0
225,0
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,1
249,1
250,0
251,0
252,0
253,0
254,1
255,0
256,0
257,1
258,0
259,1
260,0
261,1
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,1
271,1
272,1
273,0
274,0
275,0
276,1
277,1
278,1
